PatientID	FAM195B	SPIN4	TRA2B	IRF4	ZC3HC1	ZBTB24	DPH5	ZNF174	RYBP	ECE2	KLHL2	NOP14	NCOA1	METTL3	SNX8	DHX35	SLC35C2	HSF4	TMEM117	NUMBL
R01-023	5.691346	2.015952	23.526861	6.13669	0.788643	5.627356	9.993098	0.788386	41.102205	50935.973898347656	32.731064	5.11768	24.204684	7.863742	2.362229	4.134557	12.30812	4.40633	5.665663	2.270412
R01-024	5.45875	4.80983	58.06727	3.029323	3.23503	5.67312	4.952932	0.872667	40.234469	1.57157	11.756773	3.917019	14.34746	3.863334	5.58514	5.645219	3.86557	5.364462	5.661515	6.020247
R01-006	10.0257	2.89361	75.42529	1.24762	2.07858	2.41289	9.805213	4.409961	60.18861	2.23524	14.092489	9.95126	11.41605	7.36815	1.59282	5.14739	6.610667	2.20616	18.773247	1.766879
R01-153	8.48031	2.93065	79.450805	5.38533	4.25104	3.44521	5.424949	2.21923	12.92778	1.82637	10.11693	6.66998	12.00691	4.97743	5.14738	6.507559	9.70191	3.32639	19.102194	1.36747
R01-031	16.292	3.019856	50.57783	3.782	2.70258	3.699529	5.054994	1.555135	31.207687	3.54308	16.767567	5.86505	10.7939	4.51041	5.70824	1.473755	9.997588	5.57913	7.634753	3.621613
R01-032	7.26743	1.613839	59.583335	1.713964	1.83344	3.36731	5.146068	0.64289	49.21106	52233.76684106914	25.532423	2.32748	34.042142	2.63296	4.974726	7.376602	2.72424	4.52865	15.023882	52233.76684106914
R01-033	6.06141	1.20902	20.521779	19192.408832832687	5.54883	1.65788	2.909087	1.79357	12.693525	1.61156	26.928148	12.116398	16.574045	6.921065	6.85747	4.38895	12.15562	21.73867	1.20967	0.540449
R01-034	7.00825	1.50545	52.811701	4.690626	3.3202	4.655211	11.958284	1.74018	26.140869	2.1581	21.11855	7.28267	16.321377	6.64411	4.80816	5.901036	5.92791	4.93188	3.122058	4.484497
R01-035	4.76314	1.664993	30.923687	7.95488	2.714541	1.2888	1.835785	1.73031	40.07018	2.96085	17.036353	4.23644	6.32255	3.78851	1.86076	1.26702	5.095475	5.06383	3.615241	0.9546
R01-037	6.510256	2.654774	38.41999	4.058157	3.83959	1.79495	7.801741	1.36973	20.914617	1.8836	18.384141	3.84387	6.215044	4.705825	5.71292	4.815163	4.343961	3.76003	359860.34926987806	1.979018
R01-005	1.90696	2.610625	21.02704	7270.41808348562	3.75298	0.676105	6.57964	1.17202	17.326957	7270.41808348562	18.894832	7.053309	25.013588	3.995574	2.837921	4.51564	5.483321	3.71052	7270.41808348562	7270.41808348562
R01-147	9.61301	2.154513	38.325013	5.138517	3.52877	11.26939	33581.80513990323	0.874089	90.254303	0.754973	35.32346	6.172048	69.873327	12.969476	6.92988	10.761583	8.939469	7.00248	137.776854	0.545343
R01-051	4.82482	1.187991	32.00513	9320.653081399108	0.770824	4.306643	16.342265	1.60373	19.952329	9320.653081399108	11.069827	6.84644	16.012602	2.00727	1.85079	7.495896	5.089806	9.91398	9.207156	0.969669
R01-043	11.5299	1.13219	32.1857	2.139878	4.07419	2.02387	3.87454	2.11448	6.23748	3.64156	9.58907	8.44342	7.49991	9.07187	4.73875	1.73556	7.16917	1.54849	1.22334	2.20296
R01-028	4.12636	1.795416	16.61325	2.017436	2.182554	2.700572	3.079424	0.577579	19.8859	53980.91285277469	13.050281	5.85128	19.823146	5.06679	5.088632	2.782758	5.87964	11.710175	1.990398	2.91522
R01-052	1.59315	18163.68984147779	6.645484	18163.68984147779	0.727942	18163.68984147779	18163.68984147779	18163.68984147779	2.39846	18163.68984147779	0.933004	5.673853	10.163792	2.95457	0.762543	2.90151	18163.68984147779	12.5228	18163.68984147779	1.20957
R01-056	25.078	4.1901	29.5845	1.83835	4.82898	3.52915	4.65067	2.1337	9.76094	6.15358	6.89945	6.34034	6.4458	12.2462	7.57646	2.40267	11.3791	1.907578	2.09195	0.938162
